                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95745,                 2.0252,                 1.4161,                0.01564,                0.34459,                0.00905,                  0.002,                 3.0691,                 23.076,                 2.5015,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.0536,                  1.852,                 1.4259,                0.00029,                0.05405,                0.00015,                  4e-05,                 4.6834,                    inf,                 118.73,              0.0012897,              0.0012897,              0.0012897
                      3,                0.99259,                 1.7711,                 1.3854,                0.00203,                0.08784,                0.00063,                0.00012,                 4.4481,                 67.235,                 5.5072,               0.001904,               0.001904,               0.001904
                      4,                0.99496,                 1.7585,                 1.3946,                0.01596,                0.11486,                0.00536,                0.00123,                 3.4902,                 61.298,                 5.9297,              0.0018812,              0.0018812,              0.0018812
                      5,                0.97845,                 1.7572,                  1.375,                0.00734,                0.14189,                 0.0026,                0.00064,                 3.3904,                 24.936,                 3.3138,              0.0018812,              0.0018812,              0.0018812
                      6,                0.90205,                 1.7128,                 1.3201,                0.01818,                0.32432,                0.01175,                0.00395,                 2.1903,                 12.539,                 2.0214,              0.0018416,              0.0018416,              0.0018416
                      7,                0.87899,                 1.6681,                 1.3087,                 0.1648,                 0.4527,                 0.0985,                 0.0374,                 2.0444,                 7.2049,                 1.9929,               0.001802,               0.001802,               0.001802
                      8,                0.87422,                 1.6561,                 1.2929,                0.13233,                0.41892,                0.07059,                0.02104,                 2.3424,                 6.8296,                 2.1574,              0.0017624,              0.0017624,              0.0017624
                      9,                0.84238,                 1.6432,                 1.2884,                0.06966,                0.43919,                0.03989,                0.01546,                 1.8629,                 7.4621,                 1.8443,              0.0017228,              0.0017228,              0.0017228
                     10,                0.82572,                 1.6166,                 1.2831,                0.23725,                0.48649,                0.19236,                0.08045,                 1.7933,                  5.984,                 1.7374,              0.0016832,              0.0016832,              0.0016832
                     11,                0.82533,                 1.6297,                 1.2783,                0.39377,                0.47297,                0.24829,                0.10438,                 1.7122,                 5.6843,                 1.6642,              0.0016436,              0.0016436,              0.0016436
                     12,                0.83646,                 1.6271,                  1.284,                0.42403,                0.37838,                0.27229,                0.09964,                 2.0933,                 5.2676,                 1.9789,               0.001604,               0.001604,               0.001604
                     13,                0.86967,                 1.5891,                  1.295,                0.09896,                0.28378,                0.05688,                0.02191,                 1.8792,                 6.4935,                 1.8076,              0.0015644,              0.0015644,              0.0015644
                     14,                0.85508,                 1.5691,                 1.3037,                0.20636,                 0.2565,                0.12361,                0.04262,                 1.7112,                 5.7977,                 1.6324,              0.0015248,              0.0015248,              0.0015248
                     15,                0.83571,                 1.5547,                 1.2772,                0.18051,                0.39865,                0.10376,                0.04038,                 1.6849,                 6.0719,                 1.6264,              0.0014852,              0.0014852,              0.0014852
                     16,                0.82753,                 1.5479,                 1.2711,                0.16267,                 0.2074,                0.10368,                0.03818,                 1.6931,                  5.777,                 1.5998,              0.0014456,              0.0014456,              0.0014456
                     17,                0.83089,                 1.5226,                 1.2958,                0.13808,                0.25329,                0.07572,                 0.0326,                 1.8635,                 5.8276,                 1.7348,               0.001406,               0.001406,               0.001406
                     18,                0.85043,                 1.4893,                 1.2818,                0.19761,                0.34945,                0.12679,                 0.0457,                  1.698,                 5.7343,                 1.6881,              0.0013664,              0.0013664,              0.0013664
                     19,                0.84657,                 1.4716,                 1.2905,                0.43171,                0.41064,                0.30663,                0.11967,                 1.7888,                 5.0482,                 1.7517,              0.0013268,              0.0013268,              0.0013268
                     20,                0.80304,                 1.4627,                 1.2706,                0.28203,                0.37838,                0.18779,                0.05899,                 1.7462,                 5.9666,                 1.6703,              0.0012872,              0.0012872,              0.0012872
                     21,                0.79688,                   1.46,                 1.2656,                0.18562,                0.27703,                0.11453,                0.03233,                 1.8681,                 6.0844,                 1.6654,              0.0012476,              0.0012476,              0.0012476
                     22,                0.83441,                 1.4862,                 1.2756,                 0.1513,                0.18243,                0.08284,                0.02136,                 1.8418,                 5.8158,                 1.6758,               0.001208,               0.001208,               0.001208
                     23,                 0.8576,                 1.5102,                 1.2948,                0.13409,                0.34947,                0.08578,                0.03487,                 1.8439,                 5.5475,                 1.7057,              0.0011684,              0.0011684,              0.0011684
                     24,                0.77803,                 1.3973,                 1.2545,                0.25259,                0.33108,                0.17883,                0.06885,                 1.8169,                  5.314,                 1.7789,              0.0011288,              0.0011288,              0.0011288
                     25,                0.78571,                 1.4272,                  1.254,                 0.3828,                0.39865,                0.22426,                0.10146,                 1.7221,                 5.2703,                 1.6221,              0.0010892,              0.0010892,              0.0010892
                     26,                0.77056,                 1.3954,                 1.2533,                0.16641,                0.22973,                0.10217,                0.02876,                 1.8333,                 5.9226,                 1.6574,              0.0010496,              0.0010496,              0.0010496
                     27,                0.79568,                 1.4099,                 1.2501,                0.20129,                0.30405,                 0.1194,                0.04499,                 1.7543,                 5.6232,                 1.6279,                0.00101,                0.00101,                0.00101
                     28,                 0.7677,                 1.4026,                 1.2283,                0.44828,                0.42568,                0.30502,                0.13358,                 1.7557,                 5.0357,                 1.6573,              0.0009704,              0.0009704,              0.0009704
                     29,                0.81005,                 1.3573,                 1.2643,                0.45975,                0.37376,                 0.2825,                0.09804,                 1.6866,                 5.4315,                 1.6256,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.7838,                 1.3757,                  1.267,                0.15907,                0.42568,                0.09611,                0.04488,                 1.8212,                 9.5839,                 1.6412,              0.0008912,              0.0008912,              0.0008912
                     31,                0.76866,                 1.3657,                 1.2325,                0.43611,                0.40239,                0.33065,                 0.1535,                 1.6718,                   5.12,                 1.5571,              0.0008516,              0.0008516,              0.0008516
                     32,                0.74438,                  1.298,                 1.2264,                0.24644,                0.42568,                0.15054,                0.06608,                  1.806,                 5.2594,                  1.706,               0.000812,               0.000812,               0.000812
                     33,                0.73931,                 1.3424,                 1.2219,                0.76075,                0.47297,                0.43807,                 0.2164,                  1.814,                 4.8098,                 1.7561,              0.0007724,              0.0007724,              0.0007724
                     34,                0.75112,                 1.3304,                 1.2331,                0.61584,                0.43243,                0.42566,                 0.2062,                 1.9099,                 5.3589,                 1.7397,              0.0007328,              0.0007328,              0.0007328
                     35,                0.76422,                 1.3805,                 1.2395,                0.74756,                0.48022,                0.48191,                0.23325,                 1.7651,                 4.7717,                 1.6563,              0.0006932,              0.0006932,              0.0006932
                     36,                0.74663,                 1.3429,                 1.2197,                0.84704,                0.47973,                0.48207,                0.24266,                 1.8256,                 4.4505,                 1.7058,              0.0006536,              0.0006536,              0.0006536
                     37,                0.71172,                 1.2823,                 1.2001,                0.63647,                 0.4527,                0.43604,                0.21397,                 1.8055,                 4.4437,                 1.6752,               0.000614,               0.000614,               0.000614
